# x, y, T_numerical, T_analytical
0.0501002, 0.871743, 5.56859, 5.56859
0.0501002, 0.881764, 5.15466, 5.15466
0.0501002, 0.891784, 4.73561, 4.73561
0.0501002, 0.901804, 4.31188, 4.31188
0.0501002, 0.911824, 3.88387, 3.88387
0.0501002, 0.921844, 3.45202, 3.45202
0.0501002, 0.931864, 3.01674, 3.01674
0.0501002, 0.941884, 2.57848, 2.57848
0.0501002, 0.951904, 2.13766, 2.13766
0.0501002, 0.961924, 1.69472, 1.69472
0.0501002, 0.971944, 1.25011, 1.25011
0.0501002, 0.981964, 0.80425, 0.80425
0.0501002, 0.991984, 0.357598, 0.357598
0.0601202, 0, 0, 0
0.0601202, 0.01002, 0.53539, 0.53539
0.0601202, 0.0200401, 1.07025, 1.07025
0.0601202, 0.0300601, 1.60405, 1.60405
0.0601202, 0.0400802, 2.13626, 2.13626
0.0601202, 0.0501002, 2.66635, 2.66635
0.0601202, 0.0601202, 3.1938, 3.1938
0.0601202, 0.0701403, 3.71809, 3.71809
0.0601202, 0.0801603, 4.23869, 4.23869
0.0601202, 0.0901804, 4.75509, 4.75509
0.0601202, 0.1002, 5.26678, 5.26678
0.0601202, 0.11022, 5.77325, 5.77325
0.0601202, 0.12024, 6.27401, 6.27401
0.0601202, 0.130261, 6.76854, 6.76854
0.0601202, 0.140281, 7.25637, 7.25637
0.0601202, 0.150301, 7.73701, 7.73701
0.0601202, 0.160321, 8.20998, 8.20998
0.0601202, 0.170341, 8.67482, 8.67482
0.0601202, 0.180361, 9.13106, 9.13106
0.0601202, 0.190381, 9.57826, 9.57826
0.0601202, 0.200401, 10.016, 10.016
0.0601202, 0.210421, 10.4437, 10.4437
0.0601202, 0.220441, 10.8612, 10.8612
0.0601202, 0.230461, 11.2678, 11.2678
0.0601202, 0.240481, 11.6634, 11.6634
